"id","website","name","contacts","industries","investment_rounds"
1,"http://www.greylock.com/","Greylock Partners","{""email"": ""info@greylock.com"", ""address"": ""2550 Sand Hill Rd, Menlo Park, CA 94025"", ""phone number"": ""1-650-614-9100""}","[""Software"", ""Technology"", ""Cybersecurity"", ""Consumer Products""]","[""Pre-Idea"", ""Pre-Seed"", ""Seed""]"
2,"http://www.a16z.com/","Andreessen Horowitz","{""email"": ""info@a16z.com"", ""address"": ""2865 Sand Hill Rd Suite 101 Menlo Park, CA 94025"", ""phone number"": ""+1 (650) 743-4880""}","[""AI"", ""bio + healthcare"", ""consumer"", ""crypto"", ""enterprise"", ""fintech"", ""games"", ""infrastructure"", ""American dynamism""]","[""seed"", ""venture"", ""growth-stage""]"
3,"http://www.sequoiacap.com/","Sequoia Capital","{""email"": ""info@sequoiacap.com"", ""address"": ""2800 Sand Hill Road #101 Menlo Park, CA 94025"", ""phone_number"": ""650-852-1999""}","[""Venture Capital"", ""Technology"", ""Startups""]","[""Seed"", ""Series A"", ""Series B"", ""Series C"", ""Growth""]"
4,"http://www.indexventures.com/","Index Ventures","{""email"": ""info@indexventures.com"", ""phone"": ""(415) 321-0340"", ""address"": ""30 Pall Mall, London SW1Y 5LP, United Kingdom""}","[""Technology"", ""Venture Capital""]","[""Seed"", ""Series A"", ""Series B"", ""Series C"", ""Growth""]"
5,"http://www.lsvp.com/","Lightspeed Ventures Partners","{""email"": ""info@lsvp.com"", ""address"": ""2200 Sand Hill Road, Suite 100, Menlo Park, CA 94025"", ""phone number"": ""+1-650-235-3750""}","[""Enterprise"", ""SaaS"", ""Consumer"", ""Healthcare""]","[""Series A"", ""Series B"", ""Series C"", ""Series D""]"
6,"http://www.matrixpartners.com/","Matrix Partners","{""email"": ""info@matrixpartners.com"", ""address"": ""245 Lytton Ave Suite 200, Palo Alto, CA 94301"", ""phone number"": ""+1 (415) 345-1200""}","[""Technology"", ""Software"", ""Hardware"", ""Consumer Products"", ""Healthcare"", ""Transportation"", ""Energy""]","[""Successful IPOs"", ""Acquisitions"", ""Private Investments""]"
7,"http://www.sparkcapital.com/","Spark Capital","{""email"": ""info@sparkcapital.com"", ""address"": ""140 Clarendon Street Floor 10, Boston, MA 02116"", ""phone number"": ""+1(617) 778-4022""}","[""Technology"", ""Consumer Products"", ""E-commerce""]","[""Seed"", ""Series A"", ""Series B"", ""Series C""]"
8,"http://www.insightpartners.com/","Insight Partners","{""email"": ""info@insightpartners.com"", ""address"": ""1114 Avenue of the Americas, 36th Floor New York, NY 10036"", ""phone number"": ""212-230-9200""}","[""SaaS"", ""Internet Technology"", ""Software""]","[""Series A"", ""Series B""]"
9,"https://foundersfund.com/","Founders Fund","{""email"": ""info@foundersfund.com"", ""address"": ""1 Letterman Dr, Suite D350\nSan Francisco, CA 94129"", ""phone_number"": ""415-589-7100""}","[""Technology"", ""Venture Capital""]","[""Seed"", ""Early Stage"", ""Series A"", ""Series B""]"
10,"https://www.luxcapital.com/","Lux Capital","{""email"": ""info@luxcapital.com"", ""phone"": ""212.572.4800"", ""address"": ""1 Rockefeller Plaza\n45th floor\nNew York, NY 10020""}","[""Science"", ""Tech""]","[""Seed Stage"", ""Early Stage"", ""Expansion Stage"", ""Growth Equity""]"
